date,type,event
2014-11-27,bear,"Vienna: OPEC declines to cut despite price slide (Saudi market-share strategy)"
2016-04-17,bear,"Doha freeze talks collapse (Saudi-Iran impasse)"
2016-09-28,bull,"Algiers accord: surprise agreement to limit output"
2016-11-30,bull,"Vienna: first cut deal since 2008 (1.2 mb/d)"
2018-12-07,bull,"Vienna: OPEC+ agrees 1.2 mb/d cut"
2020-03-06,bear,"OPEC+ collapse: Russia refuses cuts; Saudi price war follows"
2020-04-12,bull,"Historic OPEC+ deal: 9.7 mb/d cut"
2022-10-05,bull,"OPEC+ 2 mb/d cut"
2023-04-02,bull,"Surprise voluntary cuts (~1.16 mb/d)"
